,Fecha,Evento,Categoría,Lugar,Dirección,Aforo,Población,C. postal,Provincia,Audiencia,Precio,Horario
,21/10/2018,XXV Semana Cultural Castellano-Manchego,OTHERS,Auditorio Paco de Lucía,"Av. de Las Águilas, 2A",8273,Madrid,28044,Madrid,Todos los publicos,Gratuito,19:00
,21/10/2018,Lois + Jorra i Gomorra,MUSIC,Siroco Club,"Calle San Dimas, 3",663,Madrid,28015,Madrid,Consultar con el organizador,A Consultar,21:00
,21/10/2018,"Gymkhana ""Hoja A Hoja""",CHILDREN_ACTIVITIES,Aula de ecología: La Cabaña del Retiro,"Paseo Fernán Núñez, 8",7692,Madrid,28009,Madrid,Todos los publicos,Gratuito,11:00
,21/10/2018,Taller de Creación de una Mano Robótica con material Reciclado,WORKSHOP_COURSE,Espacio Fundación Telefónica,"Calle de Fuencarral, 3",6874,Madrid,28004,Madrid,Todos los publicos,Gratuito,10:00 - 13:30
,21/10/2018,El Español En Los Barrios,CONGRESS_CONFERENCE,Centro Sociocultural Francisco Fatou,"Calle de Manuel Vélez, 10",1295,Madrid,28031,Madrid,Todos los publicos,Gratuito,12:00
,21/10/2018,Solaris,OTHERS,Círculo de Bellas Artes,"Calle de Alcalá, 42",5251,Madrid,28014,Madrid,Todos los publicos,"5,50€",19:30
,21/10/2018,Concurso Bailes Latinos,OTHERS,Centro Juvenil El Sitio de mi Recreo (Villa de Va...,"Calle de la Sierra del Torcal, 12",2570,Madrid,28031,Madrid,Todos los publicos,Gratuito,17:00
,21/10/2018,Eucaristía y Concierto De Órgano,OTHERS,Catedral de la Almudena,"Calle de Bailén, 10",6696,Madrid,28013,Madrid,Todos los publicos,Gratuito,A Consultar
,21/10/2018,Ramón. Un Espectáculo de Máscara Expresiva,THEATRE,Nave 73,Calle de Palos de la Frontera 5,5971,Madrid,28012,Madrid,Consultar con el organizador,,21:30
,21/10/2018,Bobby Carcasses,MUSIC,Café Berlín,"Costanilla de los Ángeles, 20",9565,Madrid,28013,Madrid,Consultar con el organizador,A Consultar,20:30
,21/10/2018,Sabrina Francis,MUSIC,Café La Palma,"Calle de la Palma, 62",313,Madrid,28015,Madrid,Consultar con el organizador,Anticipada 7€ / Taquilla 9€,21:00
,21/10/2018,Taller De Caracterización Especial Halloween,WORKSHOP_COURSE,Centro Juvenil El Aleph (Villa de Vallecas),"Calle Zazuar, 1",2072,Madrid,28031,Madrid,Todos los publicos,Gratuito,18:00
,21/10/2018,Mark Guiliana Jazz Quartet,MUSIC,Sala Clamores,Calle Alburquerque.14,9220,Madrid,28010,Madrid,Todos los publicos,22€ anticipada / 26€ taquilla,21:00
,21/10/2018,Atrévete. Magia mental,SHOW,La Escalera de Jacob,Lavapiés 9,482,Madrid,28012,Madrid,Todos los publicos,10€,D 20:00
,21/10/2018,Taller Infantil. Ciclo Intercultural,CHILDREN_ACTIVITIES,Centro Cultural Nicolás Salmerón (Chamartín),"Calle Mantuano, 51",3951,Madrid,28002,Madrid,Mayores de 5 años,Gratuito,12:00
,21/10/2018,Sesion del Mississippi,MUSIC,Sala Búho Real,"C/ Regueros, 5",8310,Madrid,28004,Madrid,Consultar con el organizador,A Consultar,20:00
,21/10/2018,Descarriadas,THEATRE,Teatro del Barrio,Zurita 20,9897,Madrid,28012,Madrid,Consultar con el organizador,14€,17 nov 22:30
,21/10/2018,Yo Maté al Rey León,THEATRE,Teatro Reina Victoria,Carrera de San Jerónimo 24,4753,Madrid,28014,Madrid,Mayores de 16 años,Desde 14€,D 20:15
,21/10/2018,74 Días de Otoño,THEATRE,Plot Point,"Calle de Ercilla, 29",3674,Madrid,28005,Madrid,Todos los publicos,Desde 12 €,19:30
,21/10/2018,Las Aventuras de los Pérez,THEATRE,La Escalera de Jacob,Calle de Lavapiés 9,3911,Madrid,28012,Madrid,Todos los publicos,10€,12:30
,21/10/2018,El Misterio Del Baúl,CHILDREN_ACTIVITIES,Centro Sociocultural García Lorca (Carabanchel),"Calle de Eugenia de Montijo, 105",8333,Madrid,28044,Madrid,Mayores de 3 años,Gratuito,19:00
,21/10/2018,Mercado Municipal De Productores Planetario,FAIR_MARKET,Avda. del Planetario,Avda. del Planetario esquina a C/ MenesesMadrid Di...,331,Madrid,28045,Madrid,Todos los publicos,Gratuito,10:00 - 16:00
,21/10/2018,Ballet Ara De Madrid,SHOW,Auditorio y sala de exposiciones Paco de Lucía (...,"Av. de Las Águilas, 2A",5857,Madrid,28044,Madrid,Todos los publicos,Gratuito,19:00
,21/10/2018,El Cumpleaños De La Luna,CHILDREN_ACTIVITIES,Centro Cultural Ciudad Pegaso (San Blas - Canille...,"Av. Séptima, 11",8490,Madrid,28022,Madrid,Todos los publicos,Gratuito,12:00
,21/10/2018,"Brunch -In The Park #5: Derrick May, Dubfire, Nastia, IVA",MUSIC,Parque de Enrique Tierno Galván,"Calle Meneses, 4",5081,Madrid,28045,Madrid,Todos los publicos,Desde 18 €,13:00 - 22:00
,21/10/2018,Magia por un Tubo,SHOW,La Escalera de Jacob,Calle de Lavapiés 9,9535,Madrid,28012,Madrid,Todos los publicos,Desde 6€,12:30
,21/10/2018,Carrera Dieta Mediterránea 2018,SPORT,Parque Juan Carlos I,"GLORIETA S.A.R. DON JUAN DE BORBON Y BATTEMBERG, ...",2830,Madrid,28042,Madrid,Todos los publicos,Gratuito,10:30
,21/10/2018,Lo(r)ca. Tragedia Homosexual,THEATRE,Nave 73,Calle de Palos de la Frontera 5,4948,Madrid,28012,Madrid,Consultar con el organizador,12€,19:30
,21/10/2018,La Vuelta Al Mundo,CHILDREN_ACTIVITIES,Centro Sociocultural Miguel de Cervantes (San Bla...,"Calle Aliaga, 5",6248,Madrid,28022,Madrid,Mayores de 3 años,Gratuito,12:00
,21/10/2018,The Mastersons,MUSIC,Siroco Club,"Calle San Dimas, 3",6394,Madrid,28015,Madrid,Consultar con el organizador,Desde 15 €,21:00
,21/10/2018,I Love You,CHILDREN_ACTIVITIES,La Escalera de Jacob,Calle de Lavapiés 9,3230,Madrid,28012,Madrid,Todos los publicos,5€,11:30
,21/10/2018,El Mago Depi,CHILDREN_ACTIVITIES,Centro Cultural Buero Vallejo (San Blas - Canillej...,"Calle Boltaña, 27",6565,Madrid,28022,Madrid,Mayores de 4 años,Gratuito,12:30
,21/10/2018,Una Corona Para Claudia,SHOW,Teatro Lara - Sala Lola Membrives,"Corredera Baja de San Pablo, 15",3337,Madrid,28004,Madrid,Mayores de 13 años,Desde 14€,18:15
,21/10/2018,La Historia De Aladino,CHILDREN_ACTIVITIES,Casa de Cultura Carmen Conde,"Plaza Cristóbal Colón, 11",6588,Majadahonda,28220,Madrid,Mayores de 6 años,A consultar,12:00
,21/10/2018,La Ternura,THEATRE,Teatro Municipal José María Rodero,"C/ Londres, 3",3130,Torrejon De Ardoz,28850,Madrid,Todos los publicos,"Desde 6,50€",20:00
,22/10/2018,Fondo local. Día de la Biblioteca,CONGRESS_CONFERENCE,Centro Cultural Isabel de Farnesio - Biblioteca,"Calle del Capitán Angosto Gómez Castrillón, 39",1379,"Cortijo De San Isidro, El",28300,Madrid,Todos los publicos,,9:00 - 14:00 y 15:30 - 20:30
,22/10/2018,Hoy Cocino yo,CHILDREN_ACTIVITIES,Enclave Jóven,"C/ Mar de Alborán, 1",2293,Arganda Del Rey,28500,Madrid,Mayores de 10 años,Gratuito,17:30 - 19:00
,22/10/2018,Celebración Día Internacional De La Biblioteca. TAller de Ilustración,CHILDREN_ACTIVITIES,Centro Comarcal De Humanidades Cardenal Gonzaga Si...,"Avda. de La Cabrera, 96",7126,"Cabrera, La",28751,Madrid,Mayores de 4 años,,18:00
,22/10/2018,Taller De Suelo Pélvico,WORKSHOP_COURSE,Centro Sociocultural Marconi (Villaverde),"Calle Intermedia Nte., 16",8953,Madrid,28021,Madrid,Todos los publicos,Gratuito,11:00
,22/10/2018,Martha Reeves &the Vandellas,THEATRE,Nuevo Teatro Alcalá,"Calle de Jorge Juan, 62",3588,Madrid,28009,Madrid,Todos los publicos,Desde 27 €,21:00
,22/10/2018,Félix Pons Delgado. Memorias de la Fundación,CONGRESS_CONFERENCE,Fundación Juan March,"Calle de Castelló, 77",682,Madrid,28006,Madrid,Todos los publicos,Gratuito,19:30
,22/10/2018,Martha Reeves & The Vandellas,MUSIC,Nuevo Teatro Alcalá,"Calle de Jorge Juan, 62",2243,Madrid,28009,Madrid,Todos los publicos,Desde 25 €,21:00
,22/10/2018,Taller de Retrato. La Psicología en el Arte,WORKSHOP_COURSE,Círculo de Bellas Artes,"Calle de Alcalá, 42",8972,Madrid,28014,Madrid,Todos los publicos,precio 150€ socios y desempleados 138€,18:30 - 21:00
,22/10/2018,Momentos Alhambra Jazz. American Roots Live. Lou Marini & Red House,MUSIC,Bogui Jazz,"Calle del Barquillo, 29",8529,Madrid,28004,Madrid,Todos los publicos,Anticipada: 15€ / Taquilla: 18€,21:00
,22/10/2018,Swatch Creative Natives Festival,OTHERS,Impact Hub Gobernador,"Calle Gobernador, 26",5730,Madrid,28014,Madrid,Todos los publicos,,A Consultar
,22/10/2018,Eduardo Manostijeras,OTHERS,CaixaForum Madrid,"Paseo del Prado, 36",2861,Madrid,28014,Madrid,Todos los publicos,4 €. 50 % de dto. Clientes CaixaBank,19:00
,22/10/2018,Cuarteto Pražák,MUSIC,Edificio Nouvel,"Ronda de Atocha, esquina plaza del Emperador Carlo...",6718,Madrid,28012,Madrid,Todos los publicos,Gratuito,19:30
,22/10/2018,Nick 310 + Patxi Valverde,MUSIC,Sala Clamores,"Calle de Alburquerque, 14",5205,Madrid,28010,Madrid,Consultar con el organizador,Anticipada 8€ / Taquilla 10€,21:00
,22/10/2018,Gysler + Perez + Nick 3io + Patxi Valverde. A Little Part Of Everyone,MUSIC,Sala Clamores,"Calle Alburquerque, 14",5670,Madrid,28010,Madrid,Todos los publicos,8€ antcipada 10€ taquilla,21:00
,22/10/2018,Exposición Del XIV Certamen Nacional De Pintura Rápida Parque El Capricho En Otoño,EXHIBITIONS,Centro Cultural Gloria Fuertes (Barajas),"Av. de Logroño, 179",2734,Madrid,28042,Madrid,Todos los publicos,,De 09:00 a 14:00 y de 16:00 a 21:00
,22/10/2018,Taller De Practicas Filosóficas,WORKSHOP_COURSE,Centro Social Clara Campoamor (Retiro),"Av. de la Ciudad de Barcelona, 162",6262,Madrid,28007,Madrid,Todos los publicos,Gratuito,19:30
,22/10/2018,Madrid Cocktail Week,OTHERS,A Consultar,Madrid,3309,Madrid,28014,Madrid,Todos los publicos,A Consultar,A Consultar
,22/10/2018,Básico de Cocina IV Cocciones,WORKSHOP_COURSE,Food Romance Company,"Calle de Ulises, 49",7358,Madrid,28043,Madrid,Todos los publicos,45 €,19:00 - 22:00
,22/10/2018,Damien Jurado - The Horizon Just Laughed (+Artista Invitado),MUSIC,Teatro Calderón,"Calle de Atocha, 18",7062,Madrid,28012,Madrid,Todos los publicos,Desde 20 €,20:15
,22/10/2018,Damien Jurado,MUSIC,Teatro Calderón,"Calle de Atocha, 18",3235,Madrid,28012,Madrid,Todos los publicos,Desde 20 €,20:15
,22/10/2018,Gimnasia De Mantenimiento,SPORT,Parque de El Retiro,"Plaza de la Independencia, 7",4590,Madrid,28001,Madrid,Todos los publicos,Gratuito,13:00 h
,22/10/2018,Taller De Decoración Halloween,WORKSHOP_COURSE,Centro Juvenil Carabanchel Alto,"CALLE ALFONSO FERNANDEZ, 23",3243,Madrid,28044,Madrid,Todos los publicos,Gratuito,16:00
,22/10/2018,"La Sociedad Y Las Lenguas De España, Hoy",CONGRESS_CONFERENCE,CaixaForum Madrid,"Paseo del Prado, 36",2248,Madrid,28014,Madrid,Todos los publicos,,19:30
,22/10/2018,Caminito Del Rey,CONGRESS_CONFERENCE,Biblioteca Pública Municipal Eugenio Trías. Cas...,"Parque de El Retiro, Casa de Fieras de, Paseo Fern...",1310,Madrid,28009,Madrid,Todos los publicos,Gratuito,19:00
,22/10/2018,Miguel Macaya,EXHIBITIONS,Galería Jorge Alcolea,"Calle de Claudio Coello, 28",9404,Madrid,28001,Madrid,Todos los publicos,,L - S 11:00 - 15:00 y 17:00 - 21:00
,22/10/2018,Obispos De La Diócesis de Madrid,OTHERS,Catedral de la Almudena,"Calle de Bailén, 10",3692,Madrid,28013,Madrid,Todos los publicos,Gratuito,19:30
,22/10/2018,Fundación Scherzo. Concierto Extraordinario,MUSIC,Auditorio Nacional de Música,"Príncipe de Vergara, 146",9645,Madrid,28002,Madrid,Todos los publicos,Desde 45 €,19:30
,22/10/2018,Curso Árboles Y Arbustos Silvestres,WORKSHOP_COURSE,Huerto Del Retiro,"Avenida de Alfonso XII, S/N",7553,Madrid,28014,Madrid,Todos los publicos,Gratuito,10:00
,22/10/2018,Conversación Con Diego Manrique,CONGRESS_CONFERENCE,Círculo de Bellas Artes,"Calle de Alcalá, 42",8627,Madrid,28014,Madrid,Todos los publicos,Gratuito,19:30
,22/10/2018,Cooper,MUSIC,Sala But,"Calle Barceló, 11",678,Madrid,28004,Madrid,Todos los publicos,Desde 16 €,N/A
,22/10/2018,Historia Y Curiosidades De Los Carabancheles,CONGRESS_CONFERENCE,Centro Sociocultural Blasco Ibáñez (Carabanchel),"Calle Soldado Jose Maria Rey, 44",6708,Madrid,28019,Madrid,Todos los publicos,Gratuito,12:00
,22/10/2018,Los Impartidos,THEATRE,La Escalera de Jacob,Calle de Lavapiés 9,1907,Madrid,28012,Madrid,Todos los publicos,Desde 5€,21:30
,22/10/2018,Borja Sumozas,SHOW,Beer Station,"Cuesta Santo Domingo, 22",8809,Madrid,28013,Madrid,Todos los publicos,8 €,19:30 y 21:30
,22/10/2018,El Trueque Del Jueguete,CHILDREN_ACTIVITIES,Escuela Infantil Rayuela,"Plaza Ecópolis, 1",8725,Rivas-Vaciamadrid,28523,Madrid,Todos los publicos,A consultar,17:30
,22/10/2018,El Enigma Desembriago De Las Ideas,EXHIBITIONS,Casa de la cultura,"Calle de Londres, 5",7198,Torrejon De Ardoz,28850,Madrid,Consultar con el organizador,A consultar,"L a V 9:00 - 21:00, S 10:00 - 14:00"
,23/10/2018,XI Concurso de Microrrelatos,OTHERS,Ayuntamiento de Hoyo de Manzanares,"Avenida de la Paloma, 11",9373,Hoyo De Manzanares,28240,Madrid,Todos los publicos,,A Consultar
,23/10/2018,La Vivencia De La Fe En La Historia De Madrid,OTHERS,Catedral de la Almudena,"Calle de Bailén, 10",971,Madrid,28013,Madrid,Todos los publicos,,19:30
,23/10/2018,Georgina,MUSIC,Café Libertad 8,"C/ Libertad, 8",5936,Madrid,28004,Madrid,Todos los publicos,12 €,21:00
,23/10/2018,Marlango - Technicolor,MUSIC,Teatro Rialto,"Calle Gran Vía, 54",6969,Madrid,28013,Madrid,Todos los publicos,"Desde 32,40 €",21:00
,23/10/2018,De Carne y Hueso,MUSIC,Sala Galileo Galilei,"Calle de Galileo, 100",7034,Madrid,28015,Madrid,Consultar con el organizador,12 €,21:00
,23/10/2018,Dirty Bones,MUSIC,Sala Tempo Club,"Calle Duque de Osuna, 8",4263,Madrid,28015,Madrid,Consultar con el organizador,10€,21:30
,23/10/2018,Oficina de Arqueología Imaginaria. Con Asunción Molinos Gordo,WORKSHOP_COURSE,La Casa Encendida,"Ronda de Valencia, 2",9814,Madrid,28012,Madrid,Todos los publicos,60 €,16:00 - 20:00
,23/10/2018,Caramelo y el Tren del Sabor,MUSIC,Café Berlín,C/ Costanilla de los Ángeles 20,6682,Madrid,28013,Madrid,Todos los publicos,Anticipada: 8 € Taquilla: 10 €,23:00
,23/10/2018,Only The Sound Remains,SHOW,Teatro Real,"Plaza de Isabel II, s/n",3769,Madrid,28013,Madrid,Consultar con el organizador,A Consultar,20:00
,23/10/2018,Generación Why,THEATRE,Teatro Valle-Inclán (Centro Dramático Nacional),"Calle de Valencia, 1",8397,Madrid,28012,Madrid,Todos los publicos,,18:00
,23/10/2018,Rodrigo Marula Dj Session,MUSIC,Dance Club Marula Café Madrid Disco,"Calle de Caños Viejos, 3",1077,Madrid,28005,Madrid,Todos los publicos,5€ con consumición,23:00
,23/10/2018,club de lectura infantil libros mágicos,CHILDREN_ACTIVITIES,Biblioteca Pública Municipal Mario Vargas Llosa ...,"Calle Barceló, 4",9393,Madrid,28004,Madrid,Mayores de 9 años,Gratuito,18:00
,23/10/2018,Entiéndeme tú a mí,THEATRE,Teatro Lara - Sala Lola Membrives,Calle Corredera de San Pablo 15,4336,Madrid,28004,Madrid,Consultar con el organizador,16€,20:15
,23/10/2018,Edu Manazas Jam Session,MUSIC,Moe Club,"Av. de Alberto de Alcocer, 32",3099,Madrid,28036,Madrid,Consultar con el organizador,Entrada libre,22:00
,23/10/2018,Crowdfunding. Financiación Alternativa por Internet,WORKSHOP_COURSE,La Casa Encendida,"Ronda de Valencia, 2",2289,Madrid,28012,Madrid,Todos los publicos,20 €,10:00 - 14:00
,23/10/2018,Momentos Alhambra Jazz. Beck + Landolf + Rossy Presentan Cromophlia,MUSIC,Bogui Jazz,"Calle del Barquillo, 29",1947,Madrid,28004,Madrid,Todos los publicos,Anticipada: 15€ / Taquilla: 18€,21:00
,23/10/2018,Enseñar a Perdonar. Asistir a las Personas en el Proceso de Liberarse,WORKSHOP_COURSE,La Casa Encendida,"Ronda de Valencia, 2",2669,Madrid,28012,Madrid,Todos los publicos,30 €,17:00 - 21:00
,23/10/2018,Mitos y creencias en el arte actual,EXHIBITIONS,Sala El Águila,"Calle Ramírez de Prado, 3",7302,Madrid,28045,Madrid,Todos los publicos,,M - S 11:00 - 20:30 // D y festivos 11:00 - 14:00
,23/10/2018,Tell me a story con mert clavero (cuentos en inglés),CHILDREN_ACTIVITIES,Biblioteca Pública Municipal Mario Vargas Llosa ...,"Calle Barceló, 4",8703,Madrid,28004,Madrid,Mayores de 7 años,Gratuito,18:00
,23/10/2018,Taller De Suelo Pélvico,WORKSHOP_COURSE,Centro Cultural Mercado de Ibiza (Retiro),"Calle de Ibiza, 8",1811,Madrid,28009,Madrid,Todos los publicos,Gratuito,10:00
,23/10/2018,Cocinando Cuentos.Exquisito Menú De Cuentos Con Primigenius,CHILDREN_ACTIVITIES,Biblioteca Pública Municipal La Elipa (Ciudad Lin...,"Calle de Ntra. Sra. del Villar, 6",2347,Madrid,28017,Madrid,Mayores de 4 años,Gratuito,18:00
,23/10/2018,El Órgano De Tubos En La Era Digital,MUSIC,Biblioteca Pública Municipal Eugenio Trías. Casa...,"Parque de El Retiro, Casa de Fieras de, Paseo Fern...",6100,Madrid,28009,Madrid,Todos los publicos,Gratuito,19:00
,23/10/2018,Cortos Con Ñ,OTHERS,La escalera de Jacob,Lavapiés 9,3661,Madrid,28012,Madrid,Mayores de 18 años,Desde 4€,M 20:00
,23/10/2018,Ha·Ya·To Drum Masters Opera 2001,MUSIC,Teatros del Canal,"Calle de Cea Bermúdez, 1",9603,Madrid,28003,Madrid,Todos los publicos,Desde 18 €,N/A
,23/10/2018,Feria Internacional del Sector de Frutas y Hortalizas,FAIR_MARKET,IFEMA,"Av. Partenón, 5",7431,Madrid,28042,Madrid,Todos los publicos,A Consultar,A Consultar
,23/10/2018,Talla Única,WORKSHOP_COURSE,Restaurante Café de Oriente Museo del Traje,"Avenida Juan de Herrera, 2",8146,Madrid,28040,Madrid,Todos los publicos,Gratuito,A Consultar
,23/10/2018,Radio Babel Marseille,MUSIC,CaixaForum Madrid,"Paseo del Prado, 36",8436,Madrid,28014,Madrid,Todos los publicos,12 €. 50 % de dto. clientes CaixaBank,20:00
,23/10/2018,Judith Owen,MUSIC,Sala Clamores,"Calle Alburquerque, 14",7744,Madrid,28010,Madrid,Todos los publicos,12€ anticipada 15€ taquilla,21:00
,23/10/2018,Nocturna. Festival Internacional de Cine Fantástico de Madrid,OTHERS,Cinesa Proyecciones,"Calle de Fuencarral, 136",3411,Madrid,28001,Madrid,Todos los publicos,,N/A
,23/10/2018,Kurt Vile + The Violators,MUSIC,Teatro Barceló,"Calle Barceló, 11",3425,Madrid,28004,Madrid,Todos los publicos,Desde 24 €,20:00 - 23:00
,23/10/2018,Habilidades Psicosociales para Atender a Personas Desplazadas y Migrantes,WORKSHOP_COURSE,La Casa Encendida,"Ronda de Valencia, 2",6691,Madrid,28012,Madrid,Todos los publicos,40 €,10:00 - 14:00
,23/10/2018,Taller práctico de Storyboard,WORKSHOP_COURSE,CaixaForum Madrid,"Paseo del Prado, 36",3380,Madrid,28014,Madrid,Mayores de 16 años,8€ // 50% descuento clientes Caixabank,17:00
,23/10/2018,Ciclo de Folk Contemporáneo Calavera,MUSIC,Centro Cultural Galileo-Auditorio,"C/ Galileo, 39",6428,Madrid,28015,Madrid,Todos los publicos,,20:00
,23/10/2018,Fruit Attraction,FAIR_MARKET,Ifema Feria de Madrid,"Av. Partenón, 5",2199,Madrid,28042,Madrid,Todos los publicos,20 €,9:30 - 19:00
,23/10/2018,La Alcarria en Silencio - Pablo Cano,EXHIBITIONS,Real Sociedad Fotográfica,"Calle de los Tres Peces, 2",1312,Madrid,28012,Madrid,Todos los publicos,Gratuito,M - V 18:30 - 21:30 // S 11:00 - 14:00
,23/10/2018,Palacio de Gaviria,CONGRESS_CONFERENCE,Centro Socio-Cultural Maestro Alonso,"Calle del Maestro Alonso, 6",9561,Madrid,28028,Madrid,Todos los publicos,A Consultar,18:30
,23/10/2018,Mujeres de Paciencia Salvaje,THEATRE,Teatro de las Culturas,Calle de San Cosme y San Damián 3,4469,Madrid,28012,Madrid,Consultar con el organizador,Desde 14€,20:00
,23/10/2018,El Emperador,OTHERS,La Casa Encendida,"Ronda de Valencia, 2",3261,Madrid,28012,Madrid,Consultar con el organizador,3 €,19:00
,23/10/2018,Básico de Pastelería IV,WORKSHOP_COURSE,Food Romance Company,"Calle de Ulises, 49",2700,Madrid,28043,Madrid,Todos los publicos,45 €,19:00 - 22:00
,23/10/2018,Masterclass De Fotografía: Leyes De Composición,WORKSHOP_COURSE,Centro Juvenil EL Prado,"Av. del Padre Cipriano, 11",3517,"Pardo, El",28048,Madrid,Todos los publicos,Gratuito,18:00
,23/10/2018,Ciclo jóvenes talentos del centro superior katrina gurska,MUSIC,Centro Cultural Nicolás Salmerón (Chamartín),"Calle Mantuano, 51",9285,Madrid,28002,Madrid,Todos los publicos,Gratuito,19:00
,23/10/2018,Madness Jam Session (Rock Funk & Grooves Jam Session),MUSIC,El Junco Jazz,"Plaza de Sta. Barbara, 10",6272,Madrid,28004,Madrid,Todos los publicos,6€ con cerveza,23:30
,23/10/2018,"Entre Ve(r)sos, Cuando La Erótica En Verso Sabe Mejor",THEATRE,La Escalera de Jacob,Calle de Lavapiés 9,3305,Madrid,28012,Madrid,Mayores de 18 años,8€,M 21:30
,23/10/2018,"Exposición ""Tarde De Perros"" De Carlos Gonçalvez",EXHIBITIONS,Escuela de Cerámica de la Moncloa,"Calle de Francisco y Jacinto Alcántara, 2",7311,Madrid,28008,Madrid,Todos los publicos,Gratuito,9:00 - 14:00
,23/10/2018,Jornadas Y Seminarios De Autoprotección Para Las Mujeres,WORKSHOP_COURSE,Centro Deportivo Municipal Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99",6841,Madrid,28023,Madrid,Todos los publicos,Gratuito,11:00 - 15:00
,23/10/2018,Aula Deportiva Municipal De Piragüismo,CHILDREN_ACTIVITIES,Canal de Remo Parque Juan Carlos I,Parque Juan Carlos I Glorieta S.A.R. Don Juan de B...,2272,Madrid,28042,Madrid,Todos los publicos,Gratuito,10:00 - 12:00
,23/10/2018,Extafadas,THEATRE,Teatro Lara - Sala Lola Membrives,Calle Corredera Baja de San Pablo 15,434,Madrid,28004,Madrid,Consultar con el organizador,12€,M 20:15
,23/10/2018,Chimenea. Recorrido a las Exposiciones con Invitados Especiales,EXHIBITIONS,La Casa Encendida,"Ronda de Valencia, 2",4957,Madrid,28012,Madrid,Todos los publicos,Gratuito hasta completar aforo,19:00
,23/10/2018,Kodaline,MUSIC,Sala la Riviera,"Paseo Bajo de la Virgen del Puerto, s/n",3682,Madrid,28005,Madrid,Todos los publicos,Desde 28 €,21:00 - 23:00
,23/10/2018,Zamapaax,MUSIC,Café Berlín,"Costanilla de los Ángeles, 20",3339,Madrid,28013,Madrid,Consultar con el organizador,Anticipada 8€ / Taquilla 10€,21:00
,23/10/2018,Instagramers Gallery Madrid,EXHIBITIONS,Espacio Fundación Telefónica,"Calle de Fuencarral, 3",5447,Madrid,28004,Madrid,Todos los públicos,,M - D 10:00 - 20:00. Cerrado al público todos los...
,23/10/2018,ORCAM. Orcam Pops de Película,MUSIC,Auditorio Nacional de Música,"Príncipe de Vergara, 146",7219,Madrid,28002,Madrid,Todos los publicos,Desde 25 €,19:30
,23/10/2018,La Commedia,THEATRE,Teatro Arlequín Gran Vía,"Calle de San Bernardo, 5",9756,Madrid,28013,Madrid,Todos los publicos,12€,22:00
,23/10/2018,Cuentalleres,CHILDREN_ACTIVITIES,Biblioteca Municipal Joan Miro,"Calle París, 5",7321,"Combos, Los (arroyomolinos)",28938,Madrid,Mayores de 5 años,A consultar,17:30
,23/10/2018,Taller De Creación Literaria,CHILDREN_ACTIVITIES,Biblioteca Enrique Tierno Galván,Av. de los Fresnos,7137,Torrejon De Ardoz,28850,Madrid,Mayores de 8 años,A consultar,17:30
,23/10/2018,"Cuentacuentos ""Últimos martes de mes"" con Trastadas de mamá",CHILDREN_ACTIVITIES,El Movimiento del Caracol,"Avenida de Madrid, 71",5431,Alcobendas,28100,Madrid,Todos los publicos,,18:00
,24/10/2018,Oda a mi padre. Ciclo de Cine Coreano,OTHERS,Teatro Salón Cervantes,"Calle de Cervantes, 7",8541,Alcalá de Henares,28801,Madrid,Consultar con el organizador,3 €. Amigos del Teatro Salón Cervanes: 1 €,A Consultar
,24/10/2018,Relatos Bibliotecarios. Día de la Biblioteca,OTHERS,Biblioteca Municipal Cardenal Cisneros,"Plaza San Julián, 1",661,Alcalá de Henares,28801,Madrid,Todos los publicos,Gratuito hasta completar aforo,18:00
,24/10/2018,Ciclo de Corea del Sur,OTHERS,Teatro Salón Cervantes,"Calle de Cervantes, 7",6881,Alcalá de Henares,28801,Madrid,Todos los publicos,Desde 3 €,Día 24 a las 18:30 y Día 25 a las 21:00
,24/10/2018,Little Forest. Ciclo de Cine Coreano,OTHERS,Teatro Salón Cervantes,"Calle de Cervantes, 7",2823,Alcalá de Henares,28801,Madrid,Consultar con el organizador,3 €. Amigos del Teatro Salón Cervanes: 1 €,A Consultar
,24/10/2018,Encantacuentos. Con Cierta Tradición,CHILDREN_ACTIVITIES,Biblioteca Municipal Rosa Chacel,"Calle Juan de la Cueva, 105B",3072,Alcalá de Henares,28805,Madrid,Mayores de 3 años,,A Consultar
,24/10/2018,Pieza invitada ‘Tapiz con escena del Quijote’,EXHIBITIONS,Museo Casa Natal de Cervantes,"C/ Mayor, 48",6691,Alcalá de Henares,28801,Madrid,Todos los publicos,Gratuito,martes a viernes de 10:00 a 18:00 horas (última v...
,24/10/2018,De la Movida al Manga,CONGRESS_CONFERENCE,Centro de Arte Alcobendas-Auditorio,C/ Mariano Sebastián Izuel.9,4440,Alcobendas,28100,Madrid,Todos los publicos,,18:00
,24/10/2018,Deportes Y Juegos Populares. Artistas Del Pueblo,EXHIBITIONS,Ciudad Deportiva Valdelasfuentes,Av Miguel Cervantes S/N,1924,Alcobendas,28100,Madrid,Todos los publicos,,A Consultar
,24/10/2018,"Jornada de Evacuación, Simulacro de Inundación",OTHERS,Plaza del Castillo,Plaza del Castillo,5903,Buitrago De Lozoya,28730,Madrid,Consultar con el organizador,,10:30 - 14:00
