,Fecha,Evento,Categoría,Lugar,Dirección,Aforo,Población,C. postal,Provincia,Audiencia,Precio,Horario
,01/06/2018,La Colina de los Tigres Dientes de Sable,EXHIBITIONS,Museo Arqueológico Regional de la Comunidad de Ma...,"Plaza de las Bernardas, s/n",1578,Alcalá de Henares,28801,Madrid,Todos los publicos,Gratuito,De M a S de 11 a 19 h. D y fest. de 11 a 15 h. Vis...
,01/06/2018,Sala Patrimonio. Exposición Permanente,EXHIBITIONS,Museo Nacional de Ciencia y Tecnología de Alcoben...,Pintor Velázquez s/n,5950,Alcobendas,28100,Madrid,Todos los públicos,Gratuito,"Martes a viernes: de 10:00 a 17:00h Sábados, dom..."
,01/06/2018,Sala Gabinete y Área de Módulos Interactivos. Exposición Permanente,EXHIBITIONS,Museo Nacional de Ciencia y Tecnología de Alcoben...,Pintor Velázquez s/n,5219,Alcobendas,28100,Madrid,Todos los públicos,Gratuito,"Martes a viernes: de 10:00 a 17:00h Sábados, dom..."
,01/06/2018,Espacio y Tiempo,EXHIBITIONS,Museo Nacional de Ciencia y Tecnología en Alcoben...,"Calle del Pintor Velázquez, 5",8045,Alcobendas,28100,Madrid,Todos los publicos,Gratuito,Horario de invierno (1 de noviembre a 30 de abril)...
,01/06/2018,Common Ground-Intereses Compartidos Barry Wolfryd,EXHIBITIONS,Museo Municipal de Arte en Vidrio de Alcorcón. Ca...,"Av. los Castillos, s/n",4766,Valdemaqueda,28295,Madrid,Todos los publicos,Gratuito,L a V de 10 a 14 y de 17 a 20 h.
,01/06/2018,"Exposición Permanente del Mava y ""Rompiendo el Techo de Cristal""",EXHIBITIONS,Museo Municipal de Arte en Vidrio de Alcorcón. Ca...,"Av. los Castillos, s/n",9297,Valdemaqueda,28295,Madrid,Todos los públicos,Gratuito,L - V 10:00 -14:00 y 17:00 - 20:00 // Festivos cer...
,01/06/2018,Rastro del Libro Antiguo y de Ocasión de Collado Villalba,FAIR_MARKET,"C/ Real, delante de La Caixa",C/ Real,2584,Villalba De Guadarrama,28400,Madrid,Todos los públicos,Gratuito,De noviembre a marzo de 10 a 15h De abril a septi...
,01/06/2018,Ruta en Piragua en el Pantano de Riosequillo,OTHERS,Embalse de Riosequillo,Embalse de Riosequillo,4432,Villavieja De Lozoya,28739,Madrid,Todos los publicos,10 € la hora,N/A
,01/06/2018,¿Qué Es lo que Más Te Ha Gustado del Museo?,CHILDREN_ACTIVITIES,Museo Nacional de Antropología,"Calle Alfonso XII, 68",4405,Madrid,28014,Madrid,Todos los publicos,,N/A
,01/06/2018,Los Cuerpos Perdidos,THEATRE,Teatro Español,Plaza Santa Ana. Calle Principe 25,8530,Madrid,28014,Madrid,Todos los publicos,De 5 a 22 €,"De martes a sábado 20:00. Domingo 19:00.(14, 15, ..."
,01/06/2018,Combo Palacio Real y Barrio de las Letras de Madrid,GUIDED_VISIT,Plaza de Isabel II,Plaza de Isabel II,9636,Madrid,28013,Madrid,Todos los publicos,20 €,15h
,01/06/2018,Sala de Historia Postal,EXHIBITIONS,Museo Postal y Telegráfico,"Calle Tapia de Casariego, 6",2789,Madrid,28023,Madrid,Todos los publicos,,N/A
,01/06/2018,Narra tu Ciudad,EXHIBITIONS,Biblioteca Pública Municipal Mario Vargas Llosa,"Calle Barceló, 4 (Centro)",4436,Madrid,28004,Madrid,Todos los publicos,Gratuito,De lunes a viernes de 8:30 a 21 horas. Verano: d...
,01/06/2018,Los Díez en Los Campos Expandidos. Diseño de Producto y Poesía Visual,EXHIBITIONS,Museo Nacional de Artes Decorativas,"Calle de Montalbán, 12",3812,Madrid,28014,Madrid,Todos los publicos,Gratuito,"Mar-sab, 9:30-15h. Jue, 17-20h. ..."
,01/06/2018,Bici Picnic de Mobeo,OTHERS,Matadero Madrid,"Paseo de la Chopera, 14",5554,Madrid,28045,Madrid,Todos los publicos,19 € (A partir de la cuarta persona el precio ti...,N/A
,01/06/2018,"Paisajes del Tren, Óleos de Fernando de Marta Sebastián",EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,6334,Madrid,28045,Madrid,Todos los publicos,Tarifa sábados y domingos: 3 € Tarifa lunes a v...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,El Camino del Sol,CHILDREN_ACTIVITIES,Planetario de Madrid,"Parque Tierno Galván, Av. del Planetario, 16",5009,Madrid,28045,Madrid,Mayores de 9 años,Gratuito,N/A
,01/06/2018,En Residencia: Amador Fernández-Savater. No Hay Nada que Hacer,WORKSHOP_COURSE,Matadero Madrid,"Paseo de la Chopera, 14",5843,Madrid,28045,Madrid,Todos los publicos,,N/A
,01/06/2018,Exposición Permanente: Enclavamiento de Algodor,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,4189,Madrid,28045,Madrid,Todos los públicos,Tarifa sábados y domingos: 3 €Tarifa lunes a vi...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Toledo y Segovia en 1 Día,GUIDED_VISIT,Plaza de Toros de Las Ventas,"Calle de Alcalá, 237",3213,Madrid,28028,Madrid,Mayores de 18 años,Desde 64 €,7:45
,01/06/2018,Eusebio Sempere,EXHIBITIONS,Museo Nacional Centro de Arte Reina Sofía Edifici...,"Calle de Santa Isabel, 52",3299,Madrid,28012,Madrid,Todos los publicos,Entrada individual general 8 € + Gastos Entrada ...,L y X a S de 10 a 21 H. D de 10 a 14.15 H
,01/06/2018,Colección del Museo Nacional del Prado,EXHIBITIONS,Museo Nacional del Prado,"Paseo del Prado, s/n",6658,Madrid,28014,Madrid,Todos los publicos,,De lunes a sábado de 10.00 a 20.00 h Domingos y ...
,01/06/2018,En Residencia: Espacio Afroconciencia,OTHERS,Matadero Madrid,"Paseo de la Chopera, 14",3592,Madrid,28045,Madrid,Todos los publicos,,N/A
,01/06/2018,Exposición Permanente: Nave Central > Tracción Diésel,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,7588,Madrid,28045,Madrid,Todos los públicos,Tarifa sábados y domingos: 3 €Tarifa lunes a vi...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Exposición Permanente: Nave Central > Tracción Eléctrica,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,7362,Madrid,28045,Madrid,Todos los públicos,Sábados y domingos: 3 € Tarifa lunes a viernes:...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Juegos de Pistas y Actividades Interactivas ¿Qué es lo que más te ha gustado del museo?,CHILDREN_ACTIVITIES,Museo Nacional de Antropología,"Calle Alfonso XII, 68",4047,Madrid,28014,Madrid,Todos los públicos,,09:30 - 20:00 Domingos 10:00 - 15:00
,01/06/2018,Exposición Permanente: Sala de Andaluces,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,7748,Madrid,28045,Madrid,Todos los públicos,Tarifa sábados y domingos: 3 €Tarifa lunes a vi...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Sala Carteros Honorarios,EXHIBITIONS,Museo Postal y Telegráfico,"Calle Tapia de Casariego, 6",6801,Madrid,28023,Madrid,Todos los publicos,,N/A
,01/06/2018,Mediterráneo: Naturaleza y Civilización,EXHIBITIONS,MNCN Museo Nacional de Ciencias Naturales,"Calle José Gutiérrez Abascal, 2",758,Madrid,28006,Madrid,Todos los públicos,"Entrada al museo: 7 € Entrada reducida: 3,5 �...","De martes a viernes de 10 a 17 horas Sábados, dom..."
,01/06/2018,"Exposición Permanente la Historia del Correo, la Telegrafía y la Telefonía",EXHIBITIONS,Museo Postal y Telegráfico,"Calle Tapia de Casariego, 6",2788,Madrid,28023,Madrid,Todos los publicos,Gratuito,N/A
,01/06/2018,Exposición Permanente: Nave Central > Viajeros,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,1667,Madrid,28045,Madrid,Todos los publicos,Tarifa sábados y domingos: 3 € Tarifa lunes a v...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Colección del Museo Lázaro Galdiano,EXHIBITIONS,Museo Lázaro Galdiano,"Calle de Serrano, 122",9570,Madrid,28006,Madrid,Todos los públicos,General 7€ Reducida 4€,M a S de 10 a 16.30 H. D de 10 a 15 H. Agosto 10 a...
,01/06/2018,Bailes de Salón,OTHERS,Sala But,"Calle Barceló, 11",3451,Madrid,28004,Madrid,Todos los publicos,,19:00 - 0:00
,01/06/2018,Los Colores Del Cielo Profundo,AUDIOVISUAL,Planetario de Madrid,"Parque Tierno Galván, Av. del Planetario, 16",7942,Madrid,28045,Madrid,Todos los públicos,Gratuito,18:30
,01/06/2018,Emociones: Espectáculo Flamenco,SHOW,Teatro Alfil,"Calle Pez, 10",9559,Madrid,28004,Madrid,Todos los publicos,Precio taquilla 25 €. Promoción web 16 €,Lunes a domingo 18:30h y 20:15h
,01/06/2018,Exposición Permanente: Sala de Infraestructura,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,4167,Madrid,28045,Madrid,Todos los públicos,Tarifa sábados y domingos: 3 €Tarifa lunes a vi...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Exposición Permanente: Nave Central > Tracción Vapor,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,1758,Madrid,28045,Madrid,Todos los públicos,Tarifa sábados y domingos: 3 €Tarifa lunes a vi...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,The Vulture Shadow. Juan Zamora,EXHIBITIONS,Tabacalera Promoción del Arte,"Calle de Embajadores, 51",5888,Madrid,28012,Madrid,Todos los publicos,Gratuito,N/A
,01/06/2018,Las Colecciones,EXHIBITIONS,Museo de América,"Av. de los Reyes Católicos, 6",4369,Madrid,28040,Madrid,Todos los publicos,"Tarifa general: 3,00 €. Tarifa reducida: 1,50 �...",9:30 - 15:00
,01/06/2018,Cabaret,SHOW,Chelsea I: Petit Cabaret Madrid,Cuesta de Santo Domingo 18,3980,Madrid,28013,Madrid,Todos los publicos,,N/A
,01/06/2018,Exposición Permanente: Exterior,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,6592,Madrid,28045,Madrid,Todos los públicos,Tarifa sábados y domingos: 3 €Tarifa lunes a vi...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,"Piranesi, Diseñador y Anticuario",EXHIBITIONS,Biblioteca Histórica Marqués de Valdecilla. Univ...,"Calle del Noviciado, 3",1222,Madrid,28015,Madrid,Todos los publicos,Gratuito,9:00 - 20:30
,01/06/2018,Auschwitz. No Hace Mucho. No Muy Lejos,EXHIBITIONS,Centro de Arte Canal,"Paseo de la Castellana, 214",5732,Madrid,28046,Madrid,Todos los publicos,"Desde 7 € hasta 12,50 €",10:00 - 20:00
,01/06/2018,Nairy Baghramian,EXHIBITIONS,Museo Nacional Centro de Arte Reina Sofía Palacio...,"Paseo República de Cuba, 4",5196,Madrid,28009,Madrid,Todos los publicos,Gratuito,"De Abril a Sept. (Incluidos), de L a D y Fest., de..."
,01/06/2018,Talleres 2018 de Primer Domingo de Mes,WORKSHOP_COURSE,Museo Geominero,"Calle de Ríos Rosas, 23",8584,Madrid,28003,Madrid,Todos los publicos,,Grupo 1º - 11:00 - 11:45 h Grupo 2º - 11:45 - 12...
,01/06/2018,Espacio Miró. Colección Permanente,EXHIBITIONS,Fundación Mapfre Recoletos,"Paseo de Recoletos, 23",7533,Madrid,28004,Madrid,Todos los públicos,Entrada gratuita con la compra de la entrada a las...,Lun: 14:00-20:00 H / Mar-Sáb 10:00-20:00 H / Dom ...
,01/06/2018,Sala de Filatelia,EXHIBITIONS,Museo Postal y Telegráfico,"Calle Tapia de Casariego, 6",1910,Madrid,28023,Madrid,Todos los publicos,,N/A
,01/06/2018,Ilustrar. la Ilustración Contemporánea en la Literatura Infantil,EXHIBITIONS,Caixaforum Madrid,"Paseo del Prado, 36",6354,Madrid,28014,Madrid,Todos los publicos,Gratuito,Todos los días de 10:00 - 20:00 (Incluido Fest.) ...
,01/06/2018,Visita al Parque Juan Carlos I en Tren de Paseo,GUIDED_VISIT,Parque Juan Carlos I,"Av. de Logroño, 36",6238,Madrid,28042,Madrid,Todos los publicos,Gratuito,"Lunes y Viernes: de 18 a 21 H. Sábados, Domingos ..."
,01/06/2018,Madrid City Tour,GUIDED_VISIT,Madrid City Tour,"Calle de Felipe IV, s/n",2130,Madrid,28014,Madrid,Todos los publicos,Desde 21 €,N/A
,01/06/2018,Players. Los Fotógrafos de Magnum Miran al Juego,EXHIBITIONS,Espacio Fundación Telefónica,"Calle de Fuencarral, 3",1537,Madrid,28004,Madrid,Todos los publicos,Gratuito,10:00 - 20:00
,01/06/2018,Tras la Pista de... Tesoros Virreinales,CHILDREN_ACTIVITIES,Museo de América,"Av. de los Reyes Católicos, 6",1093,Madrid,28040,Madrid,Mayores de 3 años,"Tarifa general: 3,00 €.Tarifa reducida: 1,50 €...",A Consultar
,01/06/2018,Visita Estadio Santiago Bernabeu y Almuerzo Gourmet,GUIDED_VISIT,Estadio Santiago Bernabéu,"Av. de Concha Espina, 1",653,Madrid,28036,Madrid,Todos los publicos,"Niño 85,50 € Adulto 103,50 € Visita + Comida",11h
,01/06/2018,Exposición Permanente: Sala de Relojes,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,9586,Madrid,28045,Madrid,Todos los públicos,Tarifa sábados y domingos: 3 €Tarifa lunes a vi...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,Monumento Funerario de Cervantes,EXHIBITIONS,Monasterio de las Trinitarias Descalzas,"Calle Lope de Vega, 18",6573,Madrid,28014,Madrid,Todos los publicos,Gratuito,A Consultar
,01/06/2018,Cosmos,EXHIBITIONS,Museo de la Biblioteca Nacional de España,"Paseo de Recoletos, 20-22",3906,Madrid,28001,Madrid,Todos los publicos,,De Martes a Sábado de 10:00 a 20:00 H. Domingos y...
,01/06/2018,En el Tiempo. Carlos Cánovas,EXHIBITIONS,Museo Ico,"Calle de Zorrilla, 3",9410,Madrid,28014,Madrid,Todos los publicos,Gratuito,N/A
,01/06/2018,Brassaï,EXHIBITIONS,Fundación Mapfre. Recoletos,Paseo de Recoletos 23,5731,Madrid,28004,Madrid,Todos los publicos,"Entrada general 3,00 € Visita guiada 5,00 € L...",Lun: 14:00-20:00 Mar-Sáb 10:00-20:00 Dom y Fest 1...
,01/06/2018,Madrid a Medias. Los Aprendizajes Solares,EXHIBITIONS,CentroCentro Cibeles,"Plaza Cibeles, 1",227,Madrid,28014,Madrid,Todos los publicos,Gratuito,10:00 - 20:00
,01/06/2018,Exposición Permanente: Sala de Modelismo,EXHIBITIONS,Museo del Ferrocarril,Paseo de las Delicias 61,3343,Madrid,28045,Madrid,Todos los publicos,Tarifa sábados y domingos: 3 € Tarifa lunes a v...,"De octubre a mayo Lunes a viernes, de 9:30 a 15:00..."
,01/06/2018,"Picasso, Miró y Barceló. Tres Maestros Españoles",EXHIBITIONS,Tiempos Modernos,Calle Arrieta 17,6033,Madrid,28013,Madrid,Todos los publicos,Gratuito,10:30 - 14:30 y 16:30 - 20:00. Sábados 11:00 - 14...
,01/06/2018,El Jardín Educativo del Monte Mediterráneo,EXHIBITIONS,MNCN Museo Nacional de Ciencias Naturales,"Calle José Gutiérrez Abascal, 2",337,Madrid,28006,Madrid,Todos los públicos,Entrada general: Museo: 7 €Entrada reducida: (Es...,"Mar-Vier: 10:00-17:00 H Sáb, Dom y Festivos: 10:0..."
,01/06/2018,Jardín de Piedra,EXHIBITIONS,MNCN Museo Nacional de Ciencias Naturales,"Calle José Gutiérrez Abascal, 2",2987,Madrid,28006,Madrid,Todos los públicos,Entrada general: Museo: 7 €Entrada reducida: (Es...,"Mar-Vier: 10:00-17:00 H Sáb, Dom y Festivos: 10:0..."
,01/06/2018,Entre Aves y Dioses. Una Joya Chimú del Metropolitan Museum,EXHIBITIONS,Museo de América,"Av. de los Reyes Católicos, 6",3924,Madrid,28040,Madrid,Todos los publicos,"Tarifa general: 3,00 €. Tarifa reducida: 1,50 �...",9:30 - 15:00
,01/06/2018,En Residencia: Elena Lavellés. (F)Actors In Route,EXHIBITIONS,Matadero Madrid,"Paseo de la Chopera, 14",656,Madrid,28045,Madrid,Todos los publicos,,N/A
